,sentence,sentence_annotation,intent,action,scenario,labels
778,the weather predictions you gave me are for the wrong city i want to know the temperature where i am at,the weather predictions you gave me are for the wrong city i want to know the temperature where i am at,weather_query,query,weather,70
779,can you tell me the cheapest place to get ground beef,can you tell me the cheapest place to get ground beef,recommendation_locations,locations,recommendation,59
780,set a weekly appointment reminder,set a [general_frequency : weekly] appointment reminder,calendar_set,set,calendar,8
781,i need to hear notorious thugs by bone thugs now,i need to hear [song_name : notorious thugs] by [artist_name : bone thugs] now,play_music,music,play,46
782,rewind button,[player_setting : rewind] button,play_podcasts,podcasts,play,47
783,turn it to frequency nine hundred and ninety seven,turn it to [radio_name : frequency nine hundred and ninety seven],play_radio,radio,play,48
784,are there ways to go ahead and clear my calendar for the month,are there ways to go ahead and clear my calendar for [date : the month],calendar_remove,remove,calendar,7
785,what's the weather right now,what's the weather right now,weather_query,query,weather,70
786,what i did at this time,what i did at [time : this time],general_quirky,quirky,general,21
787,please tell me when i can become rich if i invested in dow stocks today and what will be the return after five years,please tell me when i can become rich if i invested in dow stocks today and what will be the return after five years,qa_stock,stock,qa,55
788,set an alarm for one pm,set an alarm for [time : one pm],alarm_set,set,alarm,2
789,tell me about my events,tell me about my events,calendar_query,query,calendar,6
790,directions to disney world,directions to [place_name : disney world],transport_query,query,transport,66
791,sarcastic jokes,[joke_type : sarcastic] jokes,general_joke,joke,general,20
792,how hot is it outside,how [weather_descriptor : hot] is it outside,weather_query,query,weather,70
793,clear my day from meetings,clear my [time : day] from [event_name : meetings],calendar_remove,remove,calendar,7
794,alexa put classic rock on,alexa put [music_genre : classic rock] on,play_music,music,play,46
795,when did the statue of liberty made,when did the statue of liberty made,qa_factoid,factoid,qa,53
796,i feel like playing chess can you play that,i feel like playing [game_name : chess] can you play that,play_game,game,play,45
797,tell me the artist name,tell me the artist name,music_query,query,music,41
798,find podcast and play it,find podcast and play it,play_podcasts,podcasts,play,47
799,browsing centres,browsing centres,qa_maths,maths,qa,54
800,bring up my email,bring up my email,email_query,query,email,15
801,play a news radio station,play a [radio_name : news radio station],play_radio,radio,play,48
802,what is my recent email activity,what is my recent email activity,email_query,query,email,15
803,tell me what time is it,tell me what time is it,datetime_query,query,datetime,13
804,hey olly how is the weather in long island new york,hey olly how is the weather in [place_name : long island new york],weather_query,query,weather,70
805,clear calendar for this month,clear calendar for [date : this month],calendar_remove,remove,calendar,7
806,remind me tomorrow at two pm,remind me [date : tomorrow] at [time : two pm],calendar_set,set,calendar,8
807,open pandora play rock station,open [app_name : pandora] play [music_genre : rock] station,play_radio,radio,play,48
808,play michael jackson,play [artist_name : michael jackson],play_music,music,play,46
809,can you book me a train ticket to boston for next tuesday,can you book me a [transport_type : train] ticket to [place_name : boston] for next [date : tuesday],transport_ticket,ticket,transport,68
810,set an alarm for four pm tuesday,set an alarm for [time : four pm] [date : tuesday],alarm_set,set,alarm,2
811,give me my list,give me my list,lists_query,query,lists,36
812,can you take a role of enemy in the game of coc,can you take a role of enemy in the game of [game_name : coc],play_game,game,play,45
813,hey did i get any new emails,hey did i get any new emails,email_query,query,email,15
814,how much traffic does atlanta georgia usually have,how much traffic does [place_name : atlanta georgia] usually have,transport_traffic,traffic,transport,69
815,open pandora and play top hits,open [app_name : pandora] and play top hits,play_radio,radio,play,48
816,it is very hot today is not it,it is very [weather_descriptor : hot] [date : today] is not it,weather_query,query,weather,70
817,remove all my meetings for the rest of the week,remove all my [event_name : meetings] for [time : the rest of the week],calendar_remove,remove,calendar,7
818,set mute until said otherwise,set mute until said otherwise,audio_volume_mute,volume_mute,audio,4
819,how to spell the word giraffe,how to spell the word [definition_word : giraffe],qa_definition,definition,qa,52
820,what type of pant is a culotte,what type of pant is a culotte,qa_factoid,factoid,qa,53
821,can you turn off wemo plug socket,can you turn off [device_type : wemo plug socket],iot_wemo_off,wemo_off,iot,32
822,when is it,when is it,general_quirky,quirky,general,21
823,what are the subject line and sender from today's email inbox,what are the subject line and sender from [date : today's] email [email_folder : inbox],email_query,query,email,15
824,what's today's date,what's [date : today's] date,datetime_query,query,datetime,13
825,how tall is a giraffe,how tall is a giraffe,qa_factoid,factoid,qa,53
826,how do i make meatloaf,how do i make [food_type : meatloaf],cooking_recipe,recipe,cooking,11
827,send email to mom want to go shopping tomorrow,send email to [relation : mom] want to go shopping [date : tomorrow],email_sendemail,sendemail,email,17
828,desk lamp one off,[device_type : desk lamp one] off,iot_hue_lightoff,hue_lightoff,iot,29
829,what new messages do i have,what new messages do i have,email_query,query,email,15
830,remove a list of food items purchased last week,remove a list of [list_name : food] items purchased [date : last week],lists_remove,remove,lists,37
831,make blank on july three calendar,make blank on [date : july three] calendar,calendar_remove,remove,calendar,7
832,what movies are being shown at the regal cinema,what movies are being shown at the [place_name : regal cinema],recommendation_movies,movies,recommendation,60
833,start house cleanup,start [house_place : house] cleanup,iot_cleaning,cleaning,iot,25
834,i want to listen to up beat music,i want to listen to [music_descriptor : up beat] music,play_music,music,play,46
835,make a playlist of all songs of eminem and play with shuffle,make a playlist of all songs of [artist_name : eminem] and play with [player_setting : shuffle],play_music,music,play,46
836,why is the sky blue,why is the sky blue,qa_factoid,factoid,qa,53
837,what time is it in beijing,what time is it in [place_name : beijing],datetime_query,query,datetime,13
838,how long has princess kate been pregnant,how long has [person : princess kate] been pregnant,qa_factoid,factoid,qa,53
